"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"22","0.045791","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-51 dBm"
"23","0.045794","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-55 dBm"
"24","0.048934","f4:0f:1b:7b:37:ae","Broadcast","802.11","310","Beacon frame, SN=2044, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-lib2-ap3702""","-75 dBm"
"25","0.048953","f8:c2:88:df:55:be","Broadcast","802.11","307","Beacon frame, SN=3899, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-atrium1-ap3""","-52 dBm"
"26","0.073139","","f8:c2:88:df:55:bf (RA)","802.11","40","Acknowledgement, Flags=........C","-62 dBm"
"27","0.075383","","f8:c2:88:df:55:bf (RA)","802.11","40","Acknowledgement, Flags=........C","-63 dBm"
"28","0.075389","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","46","Request-to-send, Flags=........C","-58 dBm"
"29","0.075392","","f8:c2:88:df:55:bf (RA)","802.11","40","Clear-to-send, Flags=........C","-62 dBm"
"30","0.075395","","f8:c2:88:df:55:bf (RA)","802.11","40","Acknowledgement, Flags=........C","-62 dBm"
"31","0.075399","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-62 dBm"
"32","0.075402","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-52 dBm"
"33","0.075405","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-55 dBm"
"34","0.075408","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-63 dBm"
"35","0.075412","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-51 dBm"
"36","0.075414","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-55 dBm"
"37","0.075418","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-64 dBm"
"38","0.075421","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-53 dBm"
"39","0.075424","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-55 dBm"
"40","0.084659","fe80::434:82d9:eda4:605d","ff02::1:2","DHCPv6","162","Solicit XID: 0x69a96f CID: 000100011a328c4254eaa8e46796 ","-52 dBm"
"41","0.090174","fe80::8e3a:e3ff:fe7d:809d","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"42","0.090458","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-69 dBm"
"43","0.091032","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-55 dBm"
"44","0.091040","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-69 dBm"
"45","0.091771","30:3a:64:3d:24:a3 (TA)","f8:c2:88:df:55:be (RA)","802.11","58","802.11 Block Ack, Flags=........C","-69 dBm"
"46","0.091779","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"47","0.091783","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-69 dBm"
"48","0.092392","30:3a:64:3d:24:a3 (TA)","f8:c2:88:df:55:be (RA)","802.11","58","802.11 Block Ack, Flags=........C","-69 dBm"
"49","0.092401","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"50","0.092405","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-69 dBm"
"51","0.092411","30:3a:64:3d:24:a3 (TA)","f8:c2:88:df:55:be (RA)","802.11","58","802.11 Block Ack, Flags=........C","-69 dBm"
"52","0.093033","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"53","0.093043","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-69 dBm"
"54","0.093812","30:3a:64:3d:24:a3 (TA)","f8:c2:88:df:55:be (RA)","802.11","58","802.11 Block Ack, Flags=........C","-69 dBm"
"55","0.093820","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"56","0.093826","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-58 dBm"
"57","0.093843","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-69 dBm"
"58","0.093849","30:3a:64:3d:24:a3 (TA)","f8:c2:88:df:55:be (RA)","802.11","58","802.11 Block Ack, Flags=........C","-69 dBm"
"59","0.094247","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"60","0.094253","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"61","0.094771","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"62","0.094781","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-69 dBm"
"63","0.094786","30:3a:64:3d:24:a3 (TA)","f8:c2:88:df:55:be (RA)","802.11","58","802.11 Block Ack, Flags=........C","-69 dBm"
"64","0.095463","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-56 dBm"
"65","0.096086","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"66","0.098843","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"67","0.102057","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","46","Request-to-send, Flags=........C","-58 dBm"
"68","0.102064","","f8:c2:88:df:55:bf (RA)","802.11","40","Clear-to-send, Flags=........C","-62 dBm"
"69","0.102069","","f8:c2:88:df:55:bf (RA)","802.11","40","Acknowledgement, Flags=........C","-64 dBm"
"70","0.104788","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","46","Request-to-send, Flags=........C","-57 dBm"
"71","0.104797","","f8:c2:88:df:55:bf (RA)","802.11","40","Clear-to-send, Flags=........C","-63 dBm"
"72","0.104802","","f8:c2:88:df:55:bf (RA)","802.11","40","Acknowledgement, Flags=........C","-62 dBm"
"73","0.104808","f8:c2:88:df:55:bf","Broadcast","802.11","305","Beacon frame, SN=3902, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-atrium1-ap3""","-52 dBm"
"74","0.104814","f4:0f:1b:7b:37:af","Broadcast","802.11","305","Beacon frame, SN=2045, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-lib2-ap3702""","-75 dBm"
"75","0.104819","fe80::434:82d9:eda4:605d","ff02::1:2","DHCPv6","162","Solicit XID: 0x69a96f CID: 000100011a328c4254eaa8e46796 ","-76 dBm"
"76","0.104824","fe80::434:82d9:eda4:605d","ff02::1:2","DHCPv6","162","Solicit XID: 0x69a96f CID: 000100011a328c4254eaa8e46796 ","-52 dBm"
"77","0.104829","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-62 dBm"
"78","0.104834","fe80::8e3a:e3ff:fe7d:809d","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"79","0.104841","Apple_d6:44:de (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-62 dBm"
"80","0.104844","","Apple_d6:44:de (RA)","802.11","40","Clear-to-send, Flags=........C","-53 dBm"
"81","0.104848","f8:c2:88:df:55:bf (TA)","Apple_d6:44:de (RA)","802.11","58","802.11 Block Ack, Flags=........C","-56 dBm"
"82","0.117145","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-57 dBm"
"83","0.117152","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"84","0.117157","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"85","0.127104","fe80::48a4:ef14:cca6:60ce","ff02::1","ICMPv6","134","Neighbor Advertisement","-52 dBm"
"86","0.129243","f4:0f:1b:7b:37:ad","Broadcast","802.11","300","Beacon frame, SN=2048, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-lib2-ap3702""","-75 dBm"
"87","0.129258","f8:c2:88:df:55:bd","Broadcast","802.11","300","Beacon frame, SN=3906, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-atrium1-ap3""","-52 dBm"
"88","0.129264","fe80::434:82d9:eda4:605d","ff02::1:2","DHCPv6","162","Solicit XID: 0x69a96f CID: 000100011a328c4254eaa8e46796 ","-76 dBm"
"89","0.129269","fe80::8e3a:e3ff:fe7d:809d","ff02::2","ICMPv6","118","Router Solicitation","-76 dBm"
"90","0.129273","fe80::48a4:ef14:cca6:60ce","ff02::1","ICMPv6","134","Neighbor Advertisement","-75 dBm"
"91","0.140317","fe80::1c9b:376e:42fa:7d68","ff02::2","ICMPv6","118","Router Solicitation","-53 dBm"
"92","0.150249","fe80::14f9:c5f1:7f66:ed49","ff02::2","ICMPv6","110","Router Solicitation","-52 dBm"
"93","0.154235","f4:0f:1b:7b:37:ae","Broadcast","802.11","310","Beacon frame, SN=2052, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-lib2-ap3702""","-75 dBm"
"94","0.154245","f8:c2:88:df:55:be","Broadcast","802.11","307","Beacon frame, SN=3909, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-atrium1-ap3""","-53 dBm"
"95","0.154252","54:ea:a8:e4:67:96","IPv6mcast_00:01:00:02","802.11","178","Data, SN=3910, FN=0, Flags=.pm...F.C","-52 dBm"
"96","0.154259","8c:3a:e3:7d:80:9d","IPv6mcast_00:00:00:02","802.11","134","Data, SN=3911, FN=0, Flags=.pm...F.C","-52 dBm"
"97","0.154265","00:ee:bd:f8:dd:75","IPv6mcast_00:00:00:01","802.11","150","Data, SN=3912, FN=0, Flags=.pm...F.C","-52 dBm"
"98","0.154271","5c:95:ae:e8:32:0d","IPv6mcast_00:00:00:02","802.11","134","Data, SN=3913, FN=0, Flags=.pm...F.C","-51 dBm"
"99","0.154277","Apple_04:b4:71","IPv6mcast_00:00:00:02","802.11","126","Data, SN=3914, FN=0, Flags=.p....F.C","-51 dBm"
"100","0.173378","fe80::cefa:ff:feeb:6fe6","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"101","0.190584","6c:70:9f:17:6d:34 (TA)","f8:c2:88:df:55:bf (RA)","802.11","46","Request-to-send, Flags=........C","-60 dBm"
"102","0.190596","","6c:70:9f:17:6d:34 (RA)","802.11","40","Clear-to-send, Flags=........C","-53 dBm"
"103","0.190601","f8:c2:88:df:55:bf (TA)","6c:70:9f:17:6d:34 (RA)","802.11","58","802.11 Block Ack, Flags=........C","-56 dBm"
"104","0.190609","6c:70:9f:17:6d:34","f8:c2:88:df:55:bf","802.11","54","Null function (No data), SN=250, FN=0, Flags=.......TC","-56 dBm"
"105","0.190620","","6c:70:9f:17:6d:34 (RA)","802.11","40","Acknowledgement, Flags=........C","-53 dBm"
"106","0.209441","f4:0f:1b:7b:37:af","Broadcast","802.11","305","Beacon frame, SN=2053, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-lib2-ap3702""","-75 dBm"
"107","0.209463","f8:c2:88:df:55:bf","Broadcast","802.11","305","Beacon frame, SN=3916, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-atrium1-ap3""","-52 dBm"
"108","0.209471","fe80::48a4:ef14:cca6:60ce","ff02::1","ICMPv6","134","Neighbor Advertisement","-52 dBm"
"109","0.209478","fe80::1c9b:376e:42fa:7d68","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"110","0.209485","fe80::14f9:c5f1:7f66:ed49","ff02::2","ICMPv6","110","Router Solicitation","-53 dBm"
"111","0.209492","fe80::cefa:ff:feeb:6fe6","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"112","0.217970","30:3a:64:3d:24:a3","f8:c2:88:df:55:be","802.11","56","QoS Null function (No data), SN=0, FN=0, Flags=...P...TC","-68 dBm"
"113","0.217991","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-53 dBm"
"114","0.233702","f4:0f:1b:7b:37:ad","Broadcast","802.11","300","Beacon frame, SN=2058, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-lib2-ap3702""","-75 dBm"
"115","0.233725","f8:c2:88:df:55:bd","Broadcast","802.11","300","Beacon frame, SN=3921, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-atrium1-ap3""","-52 dBm"
"116","0.233735","fe80::1c9b:376e:42fa:7d68","ff02::2","ICMPv6","118","Router Solicitation","-76 dBm"
"117","0.233743","fe80::14f9:c5f1:7f66:ed49","ff02::2","ICMPv6","110","Router Solicitation","-75 dBm"
"118","0.233754","fe80::cefa:ff:feeb:6fe6","ff02::2","ICMPv6","118","Router Solicitation","-75 dBm"
"119","0.258085","f4:0f:1b:7b:37:ae","Broadcast","802.11","310","Beacon frame, SN=2062, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-lib2-ap3702""","-76 dBm"
"120","0.258107","f8:c2:88:df:55:be","Broadcast","802.11","307","Beacon frame, SN=3922, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-atrium1-ap3""","-52 dBm"
"121","0.258115","cc:fa:00:eb:6f:e6","IPv6mcast_00:00:00:02","802.11","134","Data, SN=3923, FN=0, Flags=.p....F.C","-52 dBm"
"122","0.261162","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-56 dBm"
"123","0.263260","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"124","0.263280","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"125","0.263287","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-69 dBm"
"126","0.263533","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-58 dBm"
"127","0.263545","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"128","0.263552","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"129","0.269799","fe80::12a5:d0ff:fefc:1dd6","ff02::2","ICMPv6","118","Router Solicitation","-53 dBm"
"130","0.273139","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"131","0.298350","fe80::d4bb:de77:113d:7709","ff02::1:2","DHCPv6","193","Solicit XID: 0xe1642e CID: 000100011af22c5c448a5b6e6870 ","-53 dBm"
"132","0.313711","f4:0f:1b:7b:37:af","Broadcast","802.11","305","Beacon frame, SN=2063, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-lib2-ap3702""","-75 dBm"
"133","0.313724","f8:c2:88:df:55:bf","Broadcast","802.11","305","Beacon frame, SN=3926, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-atrium1-ap3""","-53 dBm"
"134","0.313731","fe80::12a5:d0ff:fefc:1dd6","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"135","0.313738","fe80::12a5:d0ff:fefc:1dd6","ff02::2","ICMPv6","118","Router Solicitation","-76 dBm"
"136","0.313744","fe80::d4bb:de77:113d:7709","ff02::1:2","DHCPv6","193","Solicit XID: 0xe1642e CID: 000100011af22c5c448a5b6e6870 ","-53 dBm"
"137","0.313750","fe80::d4bb:de77:113d:7709","ff02::1:2","DHCPv6","193","Solicit XID: 0xe1642e CID: 000100011af22c5c448a5b6e6870 ","-76 dBm"
"138","0.315847","fe80::2985:ebc5:66c3:5951","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-52 dBm"
"139","0.318977","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-56 dBm"
"140","0.338140","f4:0f:1b:7b:37:ad","Broadcast","802.11","300","Beacon frame, SN=2066, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-lib2-ap3702""","-77 dBm"
"141","0.338154","f8:c2:88:df:55:bd","Broadcast","802.11","300","Beacon frame, SN=3930, FN=0, Flags=........C, BI=102, SSID=ClarksonGuest, Name=""erc-atrium1-ap3""","-53 dBm"
"142","0.338162","fe80::12a5:d0ff:fefc:1dd6","ff02::2","ICMPv6","118","Router Solicitation","-76 dBm"
"143","0.338169","fe80::d4bb:de77:113d:7709","ff02::1:2","DHCPv6","193","Solicit XID: 0xe1642e CID: 000100011af22c5c448a5b6e6870 ","-76 dBm"
"144","0.338179","fe80::2985:ebc5:66c3:5951","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-77 dBm"
"145","0.362943","f4:0f:1b:7b:37:ae","Broadcast","802.11","310","Beacon frame, SN=2070, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-lib2-ap3702""","-75 dBm"
"146","0.362968","f8:c2:88:df:55:be","Broadcast","802.11","307","Beacon frame, SN=3931, FN=0, Flags=........C, BI=102, SSID=, Name=""erc-atrium1-ap3""","-52 dBm"
"147","0.362976","10:a5:d0:fc:1d:d6","IPv6mcast_00:00:00:02","802.11","134","Data, SN=3932, FN=0, Flags=.pm...F.C","-52 dBm"
"148","0.362984","e8:2a:ea:2b:80:36","IPv6mcast_00:01:00:02","802.11","209","Data, SN=3933, FN=0, Flags=.pm...F.C","-52 dBm"
"149","0.362992","IntelCor_52:c8:d0","IPv6mcast_ff:1a:a6:c1","802.11","150","Data, SN=3934, FN=0, Flags=.p....F.C","-52 dBm"
"150","0.363669","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-56 dBm"
"151","0.364157","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"152","0.364179","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"153","0.364186","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"154","0.364429","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"155","0.364437","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"156","0.364977","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"157","0.365992","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"158","0.366789","fe80::1c85:6052:adfe:6e56","ff02::2","ICMPv6","118","Router Solicitation","-53 dBm"
"159","0.366812","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-57 dBm"
"160","0.366818","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"161","0.366825","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"162","0.368918","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-56 dBm"
"163","0.371805","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-57 dBm"
"164","0.371824","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"165","0.371831","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"166","0.371839","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-57 dBm"
"167","0.371845","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"168","0.372552","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"169","0.372934","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"170","0.375044","fe80::d995:978:7c73:8210","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-53 dBm"
"171","0.375053","f8:c2:88:df:55:be (TA)","30:3a:64:3d:24:a3 (RA)","802.11","46","Request-to-send, Flags=........C","-56 dBm"
"172","0.375059","","f8:c2:88:df:55:be (RA)","802.11","40","Clear-to-send, Flags=........C","-68 dBm"
"173","0.375066","","f8:c2:88:df:55:be (RA)","802.11","40","Acknowledgement, Flags=........C","-68 dBm"
"174","0.377178","","30:3a:64:3d:24:a3 (RA)","802.11","40","Acknowledgement, Flags=........C","-57 dBm"
"175","0.378106","","7c:d1:c3:8e:ff:c4 (RA)","802.11","40","Clear-to-send, Flags=........C","-76 dBm"
"176","0.378912","7c:d1:c3:8e:ff:c4","f4:0f:1b:7b:37:ad","802.11","54","Null function (No data), SN=4071, FN=0, Flags=.......TC","-85 dBm"
"177","0.378920","","7c:d1:c3:8e:ff:c4 (RA)","802.11","40","Acknowledgement, Flags=........C","-75 dBm"
"178","0.379512","fe80::7df3:d865:6ce2:d050","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-53 dBm"
"179","0.383287","fe80::867a:88ff:fe5d:7283","ff02::2","ICMPv6","118","Router Solicitation","-53 dBm"
"180","0.383301","","7c:d1:c3:8e:ff:c4 (RA)","802.11","40","Clear-to-send, Flags=........C","-76 dBm"
"181","0.400458","","7c:d1:c3:8e:ff:c4 (RA)","802.11","40","Clear-to-send, Flags=........C","-76 dBm"
"182","0.414080","6c:70:9f:17:6d:34","f8:c2:88:df:55:bf","802.11","54","Null function (No data), SN=251, FN=0, Flags=...P...TC","-56 dBm"
"183","0.414107","","6c:70:9f:17:6d:34 (RA)","802.11","40","Acknowledgement, Flags=........C","-53 dBm"
"184","0.415430","fe80::14a1:e521:3dc8:cc31","ff02::2","ICMPv6","110","Router Solicitation","-52 dBm"
"185","0.416133","fe80::4529:c117:c812:7c18","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-53 dBm"
"186","0.418630","f4:0f:1b:7b:37:af","Broadcast","802.11","305","Beacon frame, SN=2071, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-lib2-ap3702""","-76 dBm"
"187","0.418641","f8:c2:88:df:55:bf","Broadcast","802.11","305","Beacon frame, SN=3941, FN=0, Flags=........C, BI=102, SSID=ClarksonUniversity, Name=""erc-atrium1-ap3""","-53 dBm"
"188","0.418648","fe80::2985:ebc5:66c3:5951","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-52 dBm"
"189","0.418655","fe80::1c85:6052:adfe:6e56","ff02::2","ICMPv6","118","Router Solicitation","-76 dBm"
"190","0.418661","fe80::1c85:6052:adfe:6e56","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"191","0.418667","fe80::d995:978:7c73:8210","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-53 dBm"
"192","0.418674","fe80::7df3:d865:6ce2:d050","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-52 dBm"
"193","0.418680","fe80::4529:c117:c812:7c18","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-75 dBm"
"194","0.418686","fe80::867a:88ff:fe5d:7283","ff02::2","ICMPv6","118","Router Solicitation","-52 dBm"
"195","0.418692","fe80::14a1:e521:3dc8:cc31","ff02::2","ICMPv6","110","Router Solicitation","-53 dBm"
"196","0.418703","fe80::4529:c117:c812:7c18","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-53 dBm"
"197","0.424411","fe80::b5d3:55af:a7cf:a0dd","ff02::1:ff1a:a6c1","ICMPv6","134","Neighbor Solicitation","-52 dBm"
